Σχολή(Πανεπιστήμιο)	Βάση	ΕΒΕ
Φυσικής (ΠΑΝ. ΠΑΤΡΩΝ)	10.920	11,05
Αγωγής & Φροντ. στην Πρώιμη Παιδ. Ηλ. (ΠΑΝ.ΙΩΑΝ.)	10.914	10,5
Ευελπίδων (ΣΣΕ) - Όπλα	10.865	11,05
Εκπαιδευτικών Ηλεκτρολόγων Μηχανικών και Εκπαιδευτικών Ηλεκτρονικών Μηχανικών (ΑΣΠΑΙΤΕ)	10.815	10,43
Ιστορίας και Φιλοσοφίας της Επιστήμης (ΕΚΠΑ)	10.810	10,5
Επιστήμης και Μηχανικής Υλικών (ΠΑΝ. ΚΡΗΤΗΣ)	10.780	9,6
Επιστημών της Εκπ/σης στην Προσχ. Ηλ. (ΔΠΘ)	10.750	8,4
Γεωγραφίας (ΧΑΡΟΚΟΠΕΙΟ ΠΑΝ.)	10.725	9,45
Μηχανικών Χωροταξίας, Πολεοδομίας και Περιφερειακής Ανάπτυξης (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	10.553	9,82
Ψηφιακών Τεχνών και Κινηματογράφου (ΕΚΠΑ)	10.520	8,4
Μηχανικών Περιβάλλοντος (ΔΙΠΑΕ)	10.510	9,82
Συντήρησης Αρχαιοτήτων και Έργων Τέχνης (ΠΑ.Δ.Α.)	10.500	10,21 / Ελεύθ. Σχέδιο 10,1
Πληροφορικής & Τηλεπικοινωνιών (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	10.500	10,5
Ψηφιακών Συστημάτων (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	10.445	10,5
Πληροφορικής (ΠΑΝ. ΔΥΤ. ΜΑΚ.)	10.340	10,5
Μηχ/κών Σχεδ. Προϊόντων και Συστημ. (ΠΑΝ. ΑΙΓΑΙΟΥ)	10.330	10,5
Εκπαιδευτικών Ηλεκτρολόγων Μηχανικών και Εκπαιδευτικών Ηλεκτρονικών Μηχανικών (ΑΣΠΑΙΤΕ)	10.315	10,43
Εκπαιδευτικών Πολιτικών Μηχανικών (ΑΣΠΑΙΤΕ)	10.315	10,43
Εκπαιδευτικών Μηχανολόγων Μηχανικών (ΑΣΠΑΙΤΕ)	10.255	10,43
Επιστήμης και Τεχνολογίας Τροφίμων (ΠΑΝ. ΠΕΛΟΠ.)	10.180	9,6
Επιστημών της Προσχολικής Αγωγής και Εκπαιδευτικού Σχεδιασμού (ΠΑΝ. ΑΙΓΑΙΟΥ)	10.150	8,4
Διοικητικής Επιστήμης και Τεχνολογίας (ΠΑΝ. ΠΕΛΟΠ.)	10.075	9,45
Ηλεκτρονικών Μηχανικών (ΕΛΜΕΠΑ)	10.071	8,4
Μαθηματικών (ΠΑΝ. ΠΑΤΡΩΝ)	10.053	9,82
Αεροδιαστημικής Επιστήμης και Τεχνολογίας (ΕΚΠΑ)	10.010	9,82
Αξιωματικών Πυροσβεστικής Ακαδημίας (Μόνο για Πυροσβέστες) (ΣΠΑ)	9.940	8,4
Φυσικής (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	9.925	9,82
Αειφορικής Γεωργίας (ΠΑΝ. ΠΑΤΡΩΝ)	9.885	9,6
Αγροτικής Ανάπτυξης, Αγροδιατροφής και Διαχείρισης Φυσικών Πόρων (ΕΚΠΑ)	9.870	8,4
Μαθηματικών (ΠΑΝ. ΔΥΤ. ΜΑΚ.)	9.850	9,82
Τεχνολογιών Ψηφιακής Βιομηχανίας (ΕΚΠΑ)	9.830	8,92
Μηχανικών Ορυκτών Πόρων (ΠΑΝ. ΔΥΤ. ΜΑΚ.)	9.825	9,82
Γεωλογίας (ΑΠΘ)	9.825	9,82
Μηχανικών Περιβάλλοντος (ΔΠΘ)	9.790	9,82
Επιστήμης Τροφίμων & Διατροφής (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	9.775	9,6
Δασολογίας & Διαχείρισης Φυσ. Περιβάλλοντος (ΓΠΑ)	9.700	9,6
Μαθηματικών και Εφαρμοσμένων Μαθηματικών - Εφαρμοσμένων Μαθηματικών (ΠΑΝ. ΚΡΗΤΗΣ)	9.675	9,82
Διοίκησης Εφοδιαστικής Αλυσίδας (ΔΙΠΑΕ)	9.660	8,4
Μηχανικών Πληροφοριακών και Επικοινωνιακών Συστημάτων (ΠΑΝ. ΑΙΓΑΙΟΥ)	9.660	8,4
Επιστήμης και Τεχνολογίας Τροφίμων (ΠΑΝ. ΠΑΤΡΩΝ)	9.630	9,6
Γεωπονίας, Ιχθυολογίας και Υδάτινου Περιβάλλοντος (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	9.600	9,6
Επιστήμης Ζωικής Παραγωγής (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	9.600	9,6
Επιστήμης Τροφίμων και Διατροφής (ΠΑΝ. ΑΙΓΑΙΟΥ)	9.600	9,6
Περιβάλλοντος (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	9.590	8,4
Γεωπονίας - Αγροτεχνολογίας (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	9.585	9,6
Διοικητικής Επιστήμης και Τεχνολογίας (ΔΠΘ)	9.530	8,4
Φυσικού Περ/ντος & Κλιματικής Ανθεκτικότ. (ΔΠΘ)	9.530	9,6
Μαθηματικών και Εφαρμοσμένων Μαθηματικών - Μαθηματικών (ΠΑΝ. ΚΡΗΤΗΣ)	9.515	9,82
Φυσικής (ΔΠΘ)	9.504	9,82
Γεωπονίας (ΠΑΝ. ΠΕΛΟΠ.)	9.496	9,6
Επιστήμης και Τεχνολογίας Τροφίμων (ΙΟΝΙΟ ΠΑΝ.)	9.461	9,6
Γεωπονίας (ΠΑΝ. ΙΩΑΝΝΙΝΩΝ)	9.455	9,6
Γεωπονίας (ΠΑΝ. ΠΑΤΡΩΝ)	9.445	9,6
Μηχανικών Ορυκτών Πόρων (ΠΟΛΥΤ. ΚΡΗΤΗΣ)	9.440	9,82
Αμπελουργίας και Οινολογίας (ΔΠΘ)	9.430	9,6
Τεχνών Ήχου και Εικόνας (ΙΟΝΙΟ ΠΑΝ.)	9.410	8,4
Γεωπονίας (ΕΛΜΕΠΑ)	9.400	9,6
Μαθηματικών (ΠΑΝ. ΙΩΑΝΝΙΝΩΝ)	9.385	9,82
Μαθηματικών (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	9.365	9,82
Φυσικής (ΠΑΝ. ΙΩΑΝΝΙΝΩΝ)	9.365	9,82
Ωκεανογραφίας και Θαλάσσιων Βιοεπιστημών (ΠΑΝ. ΑΙΓΑΙΟΥ)	9.300	9,6
Γεωπονίας (ΠΑΝ. ΔΥΤ. ΜΑΚ.)	9.300	9,6
Γεωλογίας (ΠΑΝ. ΠΑΤΡΩΝ)	9.280	9,82
Μηχανικών Σχεδίασης Προϊόντων και Συστημάτων (ΠΑΝ. ΔΥΤ. ΜΑΚ.)	9.225	8,92
Παραστατικών και Ψηφιακών Τεχνών (ΠΑΝ. ΠΕΛΟΠ.)	9.200	8,4
Μονίμων Υπαξιωματικών Στρατού (ΣΜΥ) - Όπλα	9.170	9,82
Αγροτικής Ανάπτυξης (ΔΠΘ)	9.125	8,4
Μηχανικών Οικονομίας και Διοίκησης (ΠΑΝ. ΑΙΓΑΙΟΥ)	9.050	8,4
Ψηφιακών Συστημάτων (ΠΑΝ. ΠΕΛΟΠ.)	9.040	8,4
Συστημάτων Ενέργειας (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	8.990	8,4
Μονίμων Υπαξιωματικών Ναυτικού (ΣΜΥΝ)	8.940	9,45
Διοικητικής Επιστήμης & Τεχνολ. (ΠΑΝ. ΔΥΤ. ΜΑΚ.)	8.920	8,4
Πληροφορικής και Τηλεπικοινωνιών (ΠΑΝ. ΙΩΑΝ.)	8.911	8,4
Διοικητικής Επιστήμης και Τεχνολογίας (ΕΛΜΕΠΑ)	8.875	8,4
Περιβάλλοντος (ΙΟΝΙΟ ΠΑΝ.)	8.670	8,4
Δημιουργικού Σχεδιασμού και Ένδυσης (ΔΙΠΑΕ)	8.650	8,4
Πληροφορικής (ΙΟΝΙΟ ΠΑΝ.)	8.640	8,4
Δασολογίας και Διαχείρισης Περιβάλλοντος και Φυσικών Πόρων (ΔΠΘ)	8.640	8,4
Δασολογίας, Επιστημών Ξύλου και Σχεδιασμού (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	8.605	8,4
Στατιστικής και Αναλογιστικών - Χρηματοοικονομικών Μαθηματικών (ΠΑΝ. ΑΙΓΑΙΟΥ)	8.550	8,4
Περιβάλλοντος (ΠΑΝ. ΑΙΓΑΙΟΥ)	8.550	8,4
Μουσικής Τεχνολογίας και Ακουστικής (ΕΛΜΕΠΑ)	8.400	8,4
Σχολή Πλοιάρχων (ΑΕΝ)	8.400	8,4
Σχολή Μηχανικών (ΑΕΝ)	8.400	8,4
Αλιείας και Υδατοκαλλιεργειών (ΠΑΝ. ΠΑΤΡΩΝ)	8.335	8,4
Γεωγραφίας (ΠΑΝ. ΑΙΓΑΙΟΥ)	7.740	8,4
Στατιστικής (ΠΑΝ. ΔΥΤ. ΜΑΚ.)	7.280	8,4
